11	ACEH
12	SUMATERA UTARA
13	SUMATERA BARAT
14	RIAU
15	JAMBI
16	SUMATERA SELATAN
17	BENGKULU
18	LAMPUNG
19	KEP. BANGKA BELITUNG
21	KEP. RIAU
31	DKI JAKARTA
32	JAWA BARAT
33	JAWA TENGAH
34	DI YOGYAKARTA
35	JAWA TIMUR
36	BANTEN
51	BALI
52	NUSA TENGGARA BARAT
53	NUSA TENGGARA TIMUR
61	KALIMANTAN BARAT
62	KALIMANTAN TENGAH
63	KALIMANTAN SELATAN
64	KALIMANTAN TIMUR
65	KALIMANTAN UTARA
71	SULAWESI UTARA
72	SULAWESI TENGAH
73	SULAWESI SELATAN
74	SULAWESI TENGGARA
75	GORONTALO
76	SULAWESI BARAT
81	MALUKU
82	MALUKU UTARA
91	PAPUA BARAT
94	PAPUA
1201	NIAS
1401	KUANTAN SINGINGI
1202	MANDAILING NATAL
1402	INDRAGIRI HULU
1403	INDRAGIRI HILIR
1203	TAPANULI SELATAN
1204	TAPANULI TENGAH
1404	PELALAWAN
1205	TAPANULI UTARA
1405	S I A K
1406	KAMPAR
1206	TOBA SAMOSIR
1407	ROKAN HULU
1207	LABUHAN BATU
1408	BENGKALIS
1208	ASAHAN
1409	ROKAN HILIR
1209	SIMALUNGUN
1410	KEPULAUAN MERANTI
1601	OGAN KOMERING ULU
1210	DAIRI
1471	PEKANBARU
1211	KARO
1602	OGAN KOMERING ILIR
1901	BANGKA
1473	D U M A I
1212	DELI SERDANG
1603	MUARA ENIM
1902	BELITUNG
2101	KARIMUN
1213	LANGKAT
1603	MUARA ENIM
1903	BANGKA BARAT
2102	BINTAN
1214	NIAS SELATAN
1604	LAHAT
1904	BANGKA TENGAH
2103	NATUNA
1215	HUMBANG HASUNDUTAN
1605	MUSI RAWAS
1905	BANGKA SELATAN
2104	LINGGA
1216	PAKPAK BHARAT
1605	MUSI RAWAS
2105	KEPULAUAN ANAMBAS
1906	BELITUNG TIMUR
1217	SAMOSIR
1606	MUSI BANYUASIN
2171	B A T A M
1971	PANGKAL PINANG
1218	SERDANG BEDAGAI
1607	BANYU ASIN
1101	SIMEULUE
2172	TANJUNG PINANG
1301	KEPULAUAN MENTAWAI
1219	BATU BARA
1608	OGAN KOMERING ULU SELATAN
1102	ACEH SINGKIL
1220	PADANG LAWAS UTARA
1302	PESISIR SELATAN
1609	OGAN KOMERING ULU TIMUR
1103	ACEH SELATAN
1303	SOLOK
1221	PADANG LAWAS
1610	OGAN ILIR
1104	ACEH TENGGARA
1222	LABUHAN BATU SELATAN
1304	SIJUNJUNG
1611	EMPAT LAWANG
1501	KERINCI
1105	ACEH TIMUR
1305	TANAH DATAR
1223	LABUHAN BATU UTARA
1612	PENUKAL ABAB LEMATANG ILIR
1306	PADANG PARIAMAN
1106	ACEH TENGAH
1502	MERANGIN
1224	NIAS UTARA
1612	PENUKAL ABAB LEMATANG ILIR
1307	AGAM
1503	SAROLANGUN
1107	ACEH BARAT
1613	MUSI RAWAS UTARA
1225	NIAS BARAT
1308	LIMA PULUH KOTA
1504	BATANG HARI
1108	ACEH BESAR
1271	SIBOLGA
1613	MUSI RAWAS UTARA
1505	MUARO JAMBI
1109	PIDIE
1309	PASAMAN
1671	PALEMBANG
1272	TANJUNG BALAI
1110	BIREUEN
1506	TANJUNG JABUNG TIMUR
1310	SOLOK SELATAN
1273	PEMATANG SIANTAR
1672	PRABUMULIH
1111	ACEH UTARA
1507	TANJUNG JABUNG BARAT
1673	PAGAR ALAM
1311	DHARMASRAYA
1274	TEBING TINGGI
1112	ACEH BARAT DAYA
1508	TEBO
1674	LUBUKLINGGAU
1275	MEDAN
1312	PASAMAN BARAT
1113	GAYO LUES
1509	BUNGO
1701	BENGKULU SELATAN
1276	BINJAI
1371	PADANG
1114	ACEH TAMIANG
1571	JAMBI
1702	REJANG LEBONG
1277	PADANGSIDIMPUAN
1372	SOLOK
1115	NAGAN RAYA
1572	SUNGAI PENUH
1703	BENGKULU UTARA
1373	SAWAH LUNTO
1278	GUNUNGSITOLI
1116	ACEH JAYA
1704	KAUR
1374	PADANG PANJANG
1117	BENER MERIAH
1705	SELUMA
1375	BUKITTINGGI
1118	PIDIE JAYA
1706	MUKOMUKO
1376	PAYAKUMBUH
1171	BANDA ACEH
1707	LEBONG
1377	PARIAMAN
1172	SABANG
1708	KEPAHIANG
1173	LANGSA
1709	BENGKULU TENGAH
1174	LHOKSEUMAWE
1771	BENGKULU
1175	SUBULUSSALAM
1801	LAMPUNG BARAT
1801	LAMPUNG BARAT
1802	TANGGAMUS
