code,level,type,localPrefix,name
11,1,PROVINSI,Provinsi,Aceh
11.01,2,KABUPATEN,Kabupaten,Aceh Selatan
11.01.01,3,KECAMATAN,Kecamatan,Bakongan
11.01.01.2001,4,DESA,Gampong,Keude Bakongan
11.01.01.2002,4,DESA,Gampong,Ujong Mangki
11.01.01.2003,4,DESA,Gampong,Ujong Padang
11.01.01.2004,4,DESA,Gampong,Drien
11.01.01.2015,4,DESA,Gampong,Darul Ikhsan
11.01.01.2016,4,DESA,Gampong,Padang Beurahan
11.01.01.2017,4,DESA,Gampong,Baro
11.01.02,3,KECAMATAN,Kecamatan,Kluet Utara
11.01.02.2001,4,DESA,Gampong,Fajar Harapan
11.01.02.2002,4,DESA,Gampong,Krueng Batee
11.01.02.2003,4,DESA,Gampong,Pasi Kuala Asahan
11.01.02.2004,4,DESA,Gampong,Gunung Pulo
11.01.02.2005,4,DESA,Gampong,Pulo Ie I
11.01.02.2006,4,DESA,Gampong,Jambo Manyang
11.01.02.2007,4,DESA,Gampong,Simpang Empat
11.01.02.2008,4,DESA,Gampong,Limau Purut
11.01.02.2009,4,DESA,Gampong,Pulo Kambing
11.01.02.2010,4,DESA,Gampong,Kampung Paya
11.01.02.2011,4,DESA,Gampong,Krueng Batu
11.01.02.2012,4,DESA,Gampong,Krueng Kluet
11.01.02.2013,4,DESA,Gampong,Alur Mas
11.01.02.2014,4,DESA,Gampong,Kampung Tinggi
11.01.02.2015,4,DESA,Gampong,Ruak
11.01.02.2016,4,DESA,Gampong,Simpang Lhee
11.01.02.2017,4,DESA,Gampong,Suaq Geuringgeng
11.01.02.2018,4,DESA,Gampong,Pasi Kuala Ba'u
11.01.02.2019,4,DESA,Gampong,Kedai Padang
11.01.02.2020,4,DESA,Gampong,Kotafajar
11.01.02.2021,4,DESA,Gampong,Gunung Pudung
11.01.03,3,KECAMATAN,Kecamatan,Kluet Selatan
11.01.03.2001,4,DESA,Gampong,Suaq Bakung
11.01.03.2002,4,DESA,Gampong,Rantau Binuang
11.01.03.2003,4,DESA,Gampong,Barat Daya
11.01.03.2004,4,DESA,Gampong,Sialang
11.01.03.2005,4,DESA,Gampong,Kapeh
11.01.03.2006,4,DESA,Gampong,Pulo Ie
11.01.03.2007,4,DESA,Gampong,Kedai Runding
11.01.03.2008,4,DESA,Gampong,Kedai Kandang
11.01.03.2009,4,DESA,Gampong,Luar
11.01.03.2010,4,DESA,Gampong,Ujung
11.01.03.2011,4,DESA,Gampong,Jua
11.01.03.2012,4,DESA,Gampong,Pasi Meurapat
11.01.03.2013,4,DESA,Gampong,Ujung Pasir
11.01.03.2014,4,DESA,Gampong,Geulumbuk
11.01.03.2015,4,DESA,Gampong,Pasie Lembang
11.01.03.2016,4,DESA,Gampong,Ujung Padang
11.01.03.2017,4,DESA,Gampong,Indra Damai
11.01.04,3,KECAMATAN,Kecamatan,Labuhan Haji
11.01.04.2001,4,DESA,Gampong,Bakau Hulu
11.01.04.2002,4,DESA,Gampong,Padang Bakau
11.01.04.2003,4,DESA,Gampong,Manggis Harapan
11.01.04.2004,4,DESA,Gampong,Pasar Lama
11.01.04.2005,4,DESA,Gampong,Apha
11.01.04.2006,4,DESA,Gampong,Ujung Batu
11.01.04.2007,4,DESA,Gampong,Pawoh
11.01.04.2008,4,DESA,Gampong,Dalam
11.01.04.2009,4,DESA,Gampong,Kota Palak
11.01.04.2010,4,DESA,Gampong,Cacang
11.01.04.2011,4,DESA,Gampong,Tengah Pisang
11.01.04.2012,4,DESA,Gampong,Pisang
11.01.04.2013,4,DESA,Gampong,Hulu Pisang
11.01.04.2014,4,DESA,Gampong,Tengah Baru
11.01.04.2015,4,DESA,Gampong,Lembah Baru
11.01.04.2016,4,DESA,Gampong,Padang Baru
11.01.05,3,KECAMATAN,Kecamatan,Meukek
11.01.05.2001,4,DESA,Gampong,Kuta Buloh II
11.01.05.2002,4,DESA,Gampong,Kuta Buloh I
11.01.05.2003,4,DESA,Gampong,Ie Dingen
11.01.05.2004,4,DESA,Gampong,Drien Jalo
11.01.05.2005,4,DESA,Gampong,Jambo Papeun
11.01.05.2006,4,DESA,Gampong,Buket Meuh
11.01.05.2007,4,DESA,Gampong,Blang Kuala
11.01.05.2008,4,DESA,Gampong,Rot Teungoh
11.01.05.2009,4,DESA,Gampong,Alue Baro
11.01.05.2010,4,DESA,Gampong,Ladang Tuha
11.01.05.2011,4,DESA,Gampong,Lhok Mamplam
11.01.05.2012,4,DESA,Gampong,Arun Tunggai
11.01.05.2013,4,DESA,Gampong,Blang Teungoh
11.01.05.2014,4,DESA,Gampong,Blang Bladeh
11.01.05.2015,4,DESA,Gampong,Ie Buboh
11.01.05.2016,4,DESA,Gampong,Keude Meukek
11.01.05.2017,4,DESA,Gampong,Kuta Baro
11.01.05.2018,4,DESA,Gampong,Tanjung Harapan
11.01.05.2019,4,DESA,Gampong,Labuhan Tarok
11.01.05.2020,4,DESA,Gampong,Lhok Aman
11.01.05.2021,4,DESA,Gampong,Alue Meutuah
11.01.05.2022,4,DESA,Gampong,Ladang Baro
11.01.05.2023,4,DESA,Gampong,Labuhan Tarok II
11.01.06,3,KECAMATAN,Kecamatan,Samadua
11.01.06.2001,4,DESA,Gampong,Dalam
11.01.06.2002,4,DESA,Gampong,Subarang
11.01.06.2003,4,DESA,Gampong,Kuta Baru
11.01.06.2004,4,DESA,Gampong,Gunung Ketek
11.01.06.2005,4,DESA,Gampong,Ladang Panton Luas
11.01.06.2006,4,DESA,Gampong,Madat
11.01.06.2007,4,DESA,Gampong,Alur Seumerah
11.01.06.2008,4,DESA,Gampong,Tengah
11.01.06.2009,4,DESA,Gampong,Gunung Cut
11.01.06.2010,4,DESA,Gampong,Alur Pinang
11.01.06.2011,4,DESA,Gampong,Kuta Blang
11.01.06.2012,4,DESA,Gampong,Batee Tunggai
11.01.06.2013,4,DESA,Gampong,Ujung Tanah
11.01.06.2014,4,DESA,Gampong,Ujung Kampung
11.01.06.2015,4,DESA,Gampong,Jilatang
11.01.06.2016,4,DESA,Gampong,Luar
11.01.06.2017,4,DESA,Gampong,Lubuk Layu
11.01.06.2018,4,DESA,Gampong,Suaq Hulu
11.01.06.2019,4,DESA,Gampong,Tampang
11.01.06.2020,4,DESA,Gampong,Payonan Gadang
11.01.06.2021,4,DESA,Gampong,Gadang
11.01.06.2022,4,DESA,Gampong,Baru
11.01.06.2023,4,DESA,Gampong,Ladang Kasik Putih
11.01.06.2024,4,DESA,Gampong,Air Sialang Hilir.
11.01.06.2025,4,DESA,Gampong,Air Sialang Hulu
11.01.06.2026,4,DESA,Gampong,Air Sialang Tengah
11.01.06.2027,4,DESA,Gampong,Balai
