code	level	localPrefix	name	postCode
11	1	Provinsi	Aceh	
11.01	2	Kabupaten	Aceh Selatan	
11.01.01	3	Kecamatan	Bakongan	
11.01.01.2001	4	Gampong	Keude Bakongan	23773
11.01.01.2002	4	Gampong	Ujong Mangki	23773
11.01.01.2003	4	Gampong	Ujong Padang	23773
11.01.01.2004	4	Gampong	Drien	23773
11.01.01.2015	4	Gampong	Darul Ikhsan	23773
11.01.01.2016	4	Gampong	Padang Beurahan	23773
11.01.01.2017	4	Gampong	Baro	23773
11.01.02	3	Kecamatan	Kluet Utara	
11.01.02.2001	4	Gampong	Fajar Harapan	23771
11.01.02.2002	4	Gampong	Krueng Batee	23771
11.01.02.2003	4	Gampong	Pasi Kuala Asahan	23771
11.01.02.2004	4	Gampong	Gunung Pulo	23771
11.01.02.2005	4	Gampong	Pulo Ie I	23771
11.01.02.2006	4	Gampong	Jambo Manyang	23771
11.01.02.2007	4	Gampong	Simpang Empat	23771
11.01.02.2008	4	Gampong	Limau Purut	23771
11.01.02.2009	4	Gampong	Pulo Kambing	23771
11.01.02.2010	4	Gampong	Kampung Paya	23771
11.01.02.2011	4	Gampong	Krueng Batu	23771
11.01.02.2012	4	Gampong	Krueng Kluet	23771
11.01.02.2013	4	Gampong	Alur Mas	23771
11.01.02.2014	4	Gampong	Kampung Tinggi	23771
11.01.02.2015	4	Gampong	Ruak	23771
11.01.02.2016	4	Gampong	Simpang Lhee	23771
11.01.02.2017	4	Gampong	Suaq Geuringgeng	23771
11.01.02.2018	4	Gampong	Pasi Kuala Ba'u	23771
11.01.02.2019	4	Gampong	Kedai Padang	23771
11.01.02.2020	4	Gampong	Kotafajar	23771
11.01.02.2021	4	Gampong	Gunung Pudung	23771
11.01.03	3	Kecamatan	Kluet Selatan	
11.01.03.2001	4	Gampong	Suaq Bakung	23772
11.01.03.2002	4	Gampong	Rantau Binuang	23772
11.01.03.2003	4	Gampong	Barat Daya	23772
11.01.03.2004	4	Gampong	Sialang	23772
11.01.03.2005	4	Gampong	Kapeh	23772
11.01.03.2006	4	Gampong	Pulo Ie	23772
11.01.03.2007	4	Gampong	Kedai Runding	23772
11.01.03.2008	4	Gampong	Kedai Kandang	23772
11.01.03.2009	4	Gampong	Luar	23772
11.01.03.2010	4	Gampong	Ujung	23772
11.01.03.2011	4	Gampong	Jua	23772
11.01.03.2012	4	Gampong	Pasi Meurapat	23772
11.01.03.2013	4	Gampong	Ujung Pasir	23772
11.01.03.2014	4	Gampong	Geulumbuk	23772
