kemdagri_code,postcode_resolution
76,91411
76.01,91574
76.01.01,91574
76.01.01.2003,91574
76.01.01.2004,91574
76.01.01.1006,91574
76.01.01.2007,91574
76.01.01.2008,91574
76.01.01.2009,91574
76.01.02,91571
76.01.02.1001,91571
76.01.02.1002,91571
76.01.02.2010,91571
76.01.02.2014,91571
76.01.02.2015,91571
76.01.02.2016,91571
76.01.03,91572
76.01.03.1001,91572
76.01.03.2002,91572
76.01.03.2003,91572
76.01.03.2012,91572
76.01.03.2013,91572
76.01.03.2016,91572
76.01.04,91573
76.01.04.2001,91573
76.01.04.2003,91573
76.01.04.2005,91573
76.01.04.2011,91573
76.01.04.2012,91573
76.01.05,91512
76.01.05.2001,91573
76.01.05.2002,91512
76.01.05.2003,91573
76.01.05.2004,91573
76.01.05.2005,91512
76.01.06,91573
76.01.06.2001,91573
76.01.06.2002,91573
76.01.06.2003,91573
76.01.06.2004,91573
76.01.07,91572
76.01.07.2001,91572
76.01.07.2002,91572
76.01.07.2003,91572
76.01.07.2004,91572
76.01.07.2005,91572
76.01.07.2006,91572
76.01.07.2007,91572
76.01.08,91571
76.01.08.2001,91571
76.01.08.2002,91571
76.01.08.2003,91571
76.01.08.2004,91571
76.01.08.2005,91571
76.01.09,91571
76.01.09.2001,91571
76.01.09.2002,91571
76.01.09.2003,91571
76.01.09.2004,91571
76.01.10,91574
76.01.10.2001,91574
76.01.10.2002,91574
76.01.10.2003,91574
76.01.10.2004,91574
76.01.11,91574
76.01.11.2001,91574
76.01.11.2002,91574
76.01.11.2003,91574
76.01.11.2004,91574
76.01.12,91572
76.01.12.2001,91572
76.01.12.2002,91572
76.01.12.2003,91572
76.01.12.2004,91572
76.01.12.2005,91572
76.01.12.2006,91572
76.01.12.2007,91572
76.02,91562
76.02.01,91511
76.02.01.1002,91511
76.02.01.1003,91511
76.02.01.2005,91514
76.02.01.2006,91515
76.02.01.2010,91511
76.02.01.1012,91515
76.02.01.1013,91515
76.02.01.2014,91511
76.02.02,91352
76.02.02.1001,91352
76.02.02.1002,91352
76.02.02.2003,91352
76.02.02.2006,91352
76.02.02.2009,91352
76.02.02.2010,91352
76.02.02.2011,91352
76.02.02.2012,91352
76.02.02.2013,91352
76.02.02.1014,91352
76.02.03,91561
76.02.03.1001,91561
76.02.03.1002,91561
76.02.03.1003,91561
76.02.03.2004,91561
76.02.03.2005,91561
76.02.03.2006,91561
76.02.03.2007,91561
76.02.03.2008,91561
76.02.03.2009,91561
76.02.03.2010,91561
76.02.03.2011,91561
76.02.03.2012,91561
76.02.03.2013,91561
76.02.03.1014,91561
76.02.04,91562
76.02.04.2001,91562
76.02.04.2003,91562
76.02.04.2004,91562
76.02.04.2006,91562
