code,level,type,localPrefix,name,postCode
11,1,PROVINSI,Provinsi,Aceh,
11.01,2,KABUPATEN,Kabupaten,Aceh Selatan,
11.01.01,3,KECAMATAN,Kecamatan,Bakongan,
11.01.01.2001,4,DESA,Gampong,Keude Bakongan,23773
11.01.01.2002,4,DESA,Gampong,Ujong Mangki,23773
11.01.01.2003,4,DESA,Gampong,Ujong Padang,23773
11.01.01.2004,4,DESA,Gampong,Drien,23773
11.01.01.2015,4,DESA,Gampong,Darul Ikhsan,23773
11.01.01.2016,4,DESA,Gampong,Padang Beurahan,23773
11.01.01.2017,4,DESA,Gampong,Baro,23773
11.01.02,3,KECAMATAN,Kecamatan,Kluet Utara,
11.01.02.2001,4,DESA,Gampong,Fajar Harapan,23771
11.01.02.2002,4,DESA,Gampong,Krueng Batee,23771
11.01.02.2003,4,DESA,Gampong,Pasi Kuala Asahan,23771
11.01.02.2004,4,DESA,Gampong,Gunung Pulo,23771
11.01.02.2005,4,DESA,Gampong,Pulo Ie I,23771
11.01.02.2006,4,DESA,Gampong,Jambo Manyang,23771
11.01.02.2007,4,DESA,Gampong,Simpang Empat,23771
11.01.02.2008,4,DESA,Gampong,Limau Purut,23771
11.01.02.2009,4,DESA,Gampong,Pulo Kambing,23771
11.01.02.2010,4,DESA,Gampong,Kampung Paya,23771
11.01.02.2011,4,DESA,Gampong,Krueng Batu,23771
11.01.02.2012,4,DESA,Gampong,Krueng Kluet,23771
11.01.02.2013,4,DESA,Gampong,Alur Mas,23771
11.01.02.2014,4,DESA,Gampong,Kampung Tinggi,23771
11.01.02.2015,4,DESA,Gampong,Ruak,23771
11.01.02.2016,4,DESA,Gampong,Simpang Lhee,23771
11.01.02.2017,4,DESA,Gampong,Suaq Geuringgeng,23771
11.01.02.2018,4,DESA,Gampong,Pasi Kuala Ba'u,23771
11.01.02.2019,4,DESA,Gampong,Kedai Padang,23771
11.01.02.2020,4,DESA,Gampong,Kotafajar,23771
11.01.02.2021,4,DESA,Gampong,Gunung Pudung,23771
11.01.03,3,KECAMATAN,Kecamatan,Kluet Selatan,
11.01.03.2001,4,DESA,Gampong,Suaq Bakung,23772
11.01.03.2002,4,DESA,Gampong,Rantau Binuang,23772
11.01.03.2003,4,DESA,Gampong,Barat Daya,23772
11.01.03.2004,4,DESA,Gampong,Sialang,23772
11.01.03.2005,4,DESA,Gampong,Kapeh,23772
11.01.03.2006,4,DESA,Gampong,Pulo Ie,23772
11.01.03.2007,4,DESA,Gampong,Kedai Runding,23772
11.01.03.2008,4,DESA,Gampong,Kedai Kandang,23772
11.01.03.2009,4,DESA,Gampong,Luar,23772
11.01.03.2010,4,DESA,Gampong,Ujung,23772
11.01.03.2011,4,DESA,Gampong,Jua,23772
11.01.03.2012,4,DESA,Gampong,Pasi Meurapat,23772
11.01.03.2013,4,DESA,Gampong,Ujung Pasir,23772
11.01.03.2014,4,DESA,Gampong,Geulumbuk,23772
11.01.03.2015,4,DESA,Gampong,Pasie Lembang,23772
11.01.03.2016,4,DESA,Gampong,Ujung Padang,23772
11.01.03.2017,4,DESA,Gampong,Indra Damai,23772
11.01.04,3,KECAMATAN,Kecamatan,Labuhan Haji,
11.01.04.2001,4,DESA,Gampong,Bakau Hulu,23761
11.01.04.2002,4,DESA,Gampong,Padang Bakau,23761
11.01.04.2003,4,DESA,Gampong,Manggis Harapan,23761
11.01.04.2004,4,DESA,Gampong,Pasar Lama,23761
11.01.04.2005,4,DESA,Gampong,Apha,23761
11.01.04.2006,4,DESA,Gampong,Ujung Batu,23761
11.01.04.2007,4,DESA,Gampong,Pawoh,23761
11.01.04.2008,4,DESA,Gampong,Dalam,23761
11.01.04.2009,4,DESA,Gampong,Kota Palak,23761
11.01.04.2010,4,DESA,Gampong,Cacang,23761
11.01.04.2011,4,DESA,Gampong,Tengah Pisang,23761
11.01.04.2012,4,DESA,Gampong,Pisang,23761
11.01.04.2013,4,DESA,Gampong,Hulu Pisang,23761
11.01.04.2014,4,DESA,Gampong,Tengah Baru,23761
11.01.04.2015,4,DESA,Gampong,Lembah Baru,23761
11.01.04.2016,4,DESA,Gampong,Padang Baru,23761
11.01.05,3,KECAMATAN,Kecamatan,Meukek,
11.01.05.2001,4,DESA,Gampong,Kuta Buloh II,23754
11.01.05.2002,4,DESA,Gampong,Kuta Buloh I,23754
11.01.05.2003,4,DESA,Gampong,Ie Dingen,23754
11.01.05.2004,4,DESA,Gampong,Drien Jalo,23754
11.01.05.2005,4,DESA,Gampong,Jambo Papeun,23754
11.01.05.2006,4,DESA,Gampong,Buket Meuh,23754
11.01.05.2007,4,DESA,Gampong,Blang Kuala,23754
11.01.05.2008,4,DESA,Gampong,Rot Teungoh,23754
11.01.05.2009,4,DESA,Gampong,Alue Baro,23754
11.01.05.2010,4,DESA,Gampong,Ladang Tuha,23754
11.01.05.2011,4,DESA,Gampong,Lhok Mamplam,23754
11.01.05.2012,4,DESA,Gampong,Arun Tunggai,23754
11.01.05.2013,4,DESA,Gampong,Blang Teungoh,23754
11.01.05.2014,4,DESA,Gampong,Blang Bladeh,23754
11.01.05.2015,4,DESA,Gampong,Ie Buboh,23754
11.01.05.2016,4,DESA,Gampong,Keude Meukek,23754
11.01.05.2017,4,DESA,Gampong,Kuta Baro,23754
11.01.05.2018,4,DESA,Gampong,Tanjung Harapan,23754
11.01.05.2019,4,DESA,Gampong,Labuhan Tarok,23754
11.01.05.2020,4,DESA,Gampong,Lhok Aman,23754
11.01.05.2021,4,DESA,Gampong,Alue Meutuah,23754
11.01.05.2022,4,DESA,Gampong,Ladang Baro,23754
11.01.05.2023,4,DESA,Gampong,Labuhan Tarok II,23754
11.01.06,3,KECAMATAN,Kecamatan,Samadua,
11.01.06.2001,4,DESA,Gampong,Dalam,23752
11.01.06.2002,4,DESA,Gampong,Subarang,23752
11.01.06.2003,4,DESA,Gampong,Kuta Baru,23752
11.01.06.2004,4,DESA,Gampong,Gunung Ketek,23752
11.01.06.2005,4,DESA,Gampong,Ladang Panton Luas,23752
11.01.06.2006,4,DESA,Gampong,Madat,23752
11.01.06.2007,4,DESA,Gampong,Alur Seumerah,23752
11.01.06.2008,4,DESA,Gampong,Tengah,23752
11.01.06.2009,4,DESA,Gampong,Gunung Cut,23752
11.01.06.2010,4,DESA,Gampong,Alur Pinang,23752
11.01.06.2011,4,DESA,Gampong,Kuta Blang,23752
11.01.06.2012,4,DESA,Gampong,Batee Tunggai,23752
11.01.06.2013,4,DESA,Gampong,Ujung Tanah,23752
11.01.06.2014,4,DESA,Gampong,Ujung Kampung,23752
11.01.06.2015,4,DESA,Gampong,Jilatang,23752
11.01.06.2016,4,DESA,Gampong,Luar,23752
