13	Sumatera Barat
.01	Pesisir Selatan
:01	Pancung Soal
2001	Inderapura
2002	Muaro Sakai Inderapura
2003	Tiga Sepakat Inderapura
2004	Inderapura Barat
2005	Kudo-Kudo Inderapura
2006	Inderapura Selatan
2009	Simpang Lama Inderapura
2010	Tigo Sungai Inderapura
2011	Tluk Amplu Inderapura
2012	Inderapura Tengah
:02	Ranah Pesisir
2001	Pelangai
2002	Sungai Tunu
2003	Sungai Tunu Utara
2004	Sungai Tunu Barat
2005	Nyiur Melambai Pelangai
2006	Sungai Liku Pelangai
2007	Koto VIII Pelangai
2008	Pelangai Gadang
2009	Pelangai Kaciak
2010	Pasia Pelangai
:03	Lengayang
2001	Kambang
2002	Lakitan
2003	Kambang Utara
2004	Kambang Timur
2005	Kambang Barat
2006	Lakitan Utara
2007	Lakitan Selatan
2008	Lakitan Timur
2009	Lakitan Tengah
:04	Batang Kapas
2001	IV Koto Hilie
2002	IV Koto Mudiek
2003	Taluak
2004	Koto Nan Duo IV Koto Hilie
2005	Koto Nan Tigo IV Koto Hilie
2006	Teratak Tempatih IV Koto Mudiek
2007	Tuik IV Koto Mudiek
2008	Sungai Nyalo IV Koto Mudiek
2009	Taluk Tigo Sakato
:05	IV Jurai
2001	Painan
2002	Tambang
2003	Salido
2004	Lumpo
2005	Bunga Pasang Salido
2006	Sago Salido
2007	Salido Sari Bulan
2008	Koto Rawang
2009	Limau Gadang Lumpo
2010	Batu Kunik Lumpo
2011	Taratak Tangah Lumpo
2012	Ampuan Lumpo
2013	Ampang Tareh Lumpo
2014	Balai Sinayan Lumpo
2015	Sungai Gayo Lumpo
2016	Sungai Sariak Lumpo
2017	Bukik Kaciak Lumpo
2018	Gunung Bungkuak Lumpo
2019	Painan Selatan Painan
2020	Painan Timur Painan
:06	Bayang
2005	Koto Berapak
2006	Talaok
2007	Pasar Baru
2008	Gurun Panjang
2009	Api-api Pasar Baru
2010	Tanjung Durian Pasar Baru
2011	Asam Kamba Pasar Baru
2012	Sawah Laweh Pasar Baru
2013	Kapeh Panji Jaya Talaok
2014	Aur Begalung Talaok
2015	Kapelgam Koto Berapak
2016	Koto Baru Koto Berapak
2017	Kubang Koto Berapak
2018	Kapujan Koto Berapak
2019	Gurun Panjang Utara
2020	Gurun Panjang Barat
2021	Gurun Panjang Selatan
:07	Koto XI Tarusan
2001	Siguntur
2002	Sungai Pinang
2003	Duku
2004	Batu Hampa
2005	Nanggalo
2006	Ampang Pulai
2007	Kapuh
2008	Barung-Barung Balantai
2009	Barung-Barung Balantai Selatan
2010	Mandeh
2011	Kapuah Utara
2012	Taratak Sungai Lundang
2013	Siguntur Tua
2014	Kampung Baru Korong Nan Ampek
2015	Duku Utara
2016	Pulau Karam Ampang Pulai
2017	Jinang Kampung Pansur Ampang Pulai
2018	Cerocok Anau Ampang Pulai
2019	Sungai Nyalo Mudiak Aia
2020	Batu Hampar Selatan
2021	Barung-Barung Balantai Timur
2022	Barung-Barung Balantai Tengah
2023	Setara Nanggalo
:08	Sutera
2001	Taratak
2002	Surantih
2003	Amping Parak
2004	Amping Parak Timur
2005	Koto Taratak
2006	Lansano Taratak
2007	Aur Duri Surantih
2008	Rawang Gunung Malelo Surantih
2009	Koto Nan Tigo Selatan Surantih
2010	Koto Nan Tigo Utara Surantih
2011	Ganting Mudiak Selatan Surantih
2012	Ganting Mudiak Utara Surantih
:09	Linggo Sari Baganti
2001	Punggasan
2002	Air Haji
2003	Punggasan Utara
2004	Punggasan Timur
2005	Padang XI Punggasan
2006	Lagan Mudik Punggasan
2007	Lagan Hilir Punggasan
2008	Air Haji Tenggara
2009	Pasar Lama Muara Air Haji
2010	Pasar Bukit Air Haji
2011	Air Haji Barat
2012	Air Haji Tengah
2013	Rantau Simalenang Air Haji
2014	Muara Gadang Air Haji
2015	Sungai Sirah Air Haji
2016	Muara Kandis Punggasan
:10	Lunang
2001	Lunang
2003	Lunang Utara
2004	Lunang Selatan
2005	Lunang Barat
2015	Sindang Lunang
2016	Pondok Parian Lunang
2017	Lunang Tengah
2018	Lunang Satu
2019	Lunang Dua
2020	Lunang Tiga
:11	Basa Ampek Balai Tapan
2001	Tapan
2002	Pasar Tapan
2007	Batang Arah Tapan
2008	Ampang Tulak Tapan
2009	Tanjung Pondok Tapan
2010	Batang Betung Tapan
2016	Bukit Buai Tapan
2017	Riak Danau Tapan
2018	Koto Anau Tapan
2019	Dusun Baru Tapan
:12	IV Nagari Bayang Utara
2001	Puluik-Puluik
2002	Koto Ranah
2003	Muaro Aie
2004	Pancuang Taba
2005	Puluik-Puluik Selatan
2006	Limau Gadang Pancung Taba
:13	Airpura
2001	Inderapura Utara
2002	Muara Inderapura
2003	Damar Lapan Batang Inderapura
2004	Lalang Panjang Inderapura
2005	Palokan Inderapura
2006	Lubuk Betung Inderapura
2007	Tluk Kualo Inderapura
