19	Kepulauan Bangka Belitung
.01	Bangka
:01	Sungailiat
1001	Sungailiat
1002	Sri Menanti
1003	Kudai
1004	Sinar Baru
1005	Kenanga
1006	Parit Padang
2007	Rebo
1008	Sinar Jaya Jelutung
1009	Matras
1010	Jelitik
1011	Surya Timur
1012	Lubuk Kelik
1013	Bukit Betung
:02	Belinyu
1001	Kuto Panji
1002	Air Jukung
1003	Bukit Ketok
2004	Gunung Muda
2005	Gunung Pelawan
2006	Riding Panjang
2007	Lumut
2008	Bintet
1009	Remodong Indah
1010	Air Asam
1011	Mantung
1012	Belinyu
:03	Merawang
2001	Batu Rusa
2002	Balun Ijuk
2003	Riding Panjang
2004	Jurung
2005	Kimak
2006	Pagarawan
2007	Merawang
2008	Air Anyir
2009	Dwi Makmur
2010	Jada Bahrin
:04	Mendo Barat
2001	Petaling
2002	Penagan
2003	Zed
2004	Mendo
2005	Paya Benua
2006	Cengkong Abang
2007	Kace
2008	Kemuja
2009	Air Duren
2010	Kota Kapur
2011	Air Buluh
2012	Rukam
2013	Labuh Air Pandan
2014	Kace Timur
2015	Petaling Banjar
:05	Pemali
2001	Air Ruai
2002	Air Duren
2003	Penyamun
2004	Sempan
2005	Pemali
2006	Karya Makmur
:06	Bakam
2001	Bakam
2002	Kapuk
2003	Dalil
2004	Neknang
2005	Tiang Tarah
2006	Mangka
2007	Mabat
2008	Bukit Layang
2009	Maras Senang
:07	Riau Silip
2001	Riau
2002	Pangkal Niur
2003	Pugul
2004	Cit
2005	Deniang
2006	Silip
2007	Mapur
2008	Banyu Asin
2009	Berbura
:08	Puding Besar
2001	Puding Besar
2002	Labu
2003	Nibung
2004	Tanah Bawah
2005	Saing
2006	Kota Waringin
2007	Kayu Besi
.02	Belitung
:01	Tanjung Pandan
1001	Kota
1002	Parit
2003	Buluh Tumbang
2004	Perawas
1005	Lesung Batang
1006	Pangkallalang
2007	Dukong
2008	Juru Seberang
1009	Tanjungpendam
2010	Air Saga
1011	Paal Satu
2012	Air Merbau
2013	Aik Pelempang Jaya
2014	Aik Ketekok
2015	Aik Rayak
1016	Kampong Damai
:02	Membalong
2001	Membalong
2002	Perpat
2003	Lassar
2004	Simpang Rusa
2005	Kembiri
2006	Bantan
2007	Tanjungrusa
2008	Mentigi
2009	Pulau Seliu
2010	Pulau Sumedang
2011	Gunung Riting
2012	Padang Kandis
:03	Selat Nasik
2001	Selat Nasik
2002	Petaling
2003	Suak Gual
2004	Pulau Gersik
:04	Sijuk
2001	Sijuk
2002	Batu Itam
2003	Terong
2004	Air Seruk
2005	Tanjung Binga
2006	Air Selumar
2007	Sungai Padang
2008	Keciput
2009	Pelepak Pute
2010	Tanjong Tinggi
:05	Badau
2001	Badau
2002	Air Batu Buding
2003	Sungai Samak
2004	Kacang Butor
2005	Cerucuk
2006	Pegantungan
2007	Ibul
.03	Bangka Selatan
:01	Toboali
1001	Toboali
1002	Teladan
1003	Tanjungketapang
2004	Serdang
2005	Jeriji
2006	Bikang
