21	Kepulauan Riau
.01	Bintan
:04	Gunung Kijang
2001	Gunung Kijang
2002	Malang Rapat
2003	Teluk Bakau
1005	Kawal
:06	Bintan Timur
1008	Kijang Kota
1009	Sungai Lekop
1010	Gunung Lengkuas
1011	Sungai Enam
:07	Bintan Utara
1001	Tanjung Uban Kota
1002	Tanjung Uban Utara
1003	Tanjung Uban Selatan
2005	Lancang Kuning
1011	Tanjung Uban Timur
:08	Teluk Bintan
2001	Bintan Buyu
2002	Pangkil
2003	Penaga
2004	Pengujan
2005	Tembeling
1006	Tembeling Tanjung
:09	Tambelan
1001	Teluk Sekuni
2002	Batu Lepuk
2003	Kampung Hilir
2004	Kampung Melayu
2005	Pulau Mentebung
2006	Pulau Pinang
2007	Kukup
2008	Pengikik
:10	Telok Sebong
2001	Berakit
2002	Ekang Anculai
2003	Pengudang
2004	Sebong Lagoi
2005	Sebong Pereh
2006	Sri Bintan
1007	Kota Baru
:12	Toapaya
2001	Toapaya
2002	Toapaya Utara
2003	Toapaya Selatan
1004	Toapaya Asri
:13	Mantang
2001	Mantang Baru
2002	Mantang Besar
2003	Mantang Lama
2004	Dendun
:14	Bintan Pesisir
2001	Kelong
2002	Mapur
2003	Numbing
2004	Air Gelubi
:15	Seri Kuala Lobam
2001	Busung
2002	Teluk Sasah
1003	Teluk Lobam
2004	Kuala Sempang
1005	Tanjung Permai
.02	Karimun
:01	Moro
1003	Moro
2004	Pauh
2005	Sugie
2006	Keban
2007	Selat Mie
2008	Tanjung Pelanduk
2009	Jang
1010	Moro Timur
2011	Niur Permai
2012	Rawajaya
2013	Buluh Patah
2014	Pulaumoro
:02	Kundur
1001	Tanjungbatu Barat
1002	Tanjungbatu Kota
2004	Sebesi
2005	Sei Ungar
2006	Lubuk
1009	Gading Sari
:03	Karimun
1001	Tanjungbalai
1002	Telukair
1003	Sungailakam Timur
2004	Parit
2005	Tulang
1006	Lubuk Semut
1007	Tanjungbalai Kota
1008	Sungailakam Barat
2009	Selatmendaun
:04	Meral
1001	Meral Kota
1002	Baran Barat
1003	Sei Raya
1006	Baran Timur
1007	Sungai Pasir
1008	Parit Benut
:05	Tebing
1001	Tebing
1002	Teluk Uma
1003	Kapling
1004	Pamak
2007	Pongkar
1008	Harjosari
:06	Buru
1001	Buru
1002	Lubuk Puding
2003	Tanjung Hutan
2004	Tanjung Batu Kecil
:07	Kundur Utara
2003	Sei Ungar Utara
2004	Teluk Radang
2010	Perayun
1012	Tanjungberlian Kota
2013	Tanjungberlian Barat
:08	Kundur Barat
1001	Sawang
2002	Sawang Selatan
2003	Sawang Laut
2004	Kundur
2005	Gemuruh
:09	Durai
2002	Sanglar
2003	Tanjung Kilang
2004	Semembang
2005	Telaga Tujuh
:10	Meral Barat
1001	Pasir Panjang
1002	Darussalam
2003	Pangke
2004	Pangke Barat
:11	Ungar
1001	Alai
2002	Batu Limau
2003	Ngal
2004	Sungaibuluh
:12	Belat
2001	Sebele
2002	Lebuh
2003	Penarah
2004	Sei Asam
2005	Tebias
2006	Degong
.03	Natuna
:04	Midai
2001	Sebelat
1003	Sabang Barat
2005	Air Putih
:05	Bunguran Barat
2007	Mekar Jaya
1008	Sedanau
2012	Binjai
2013	Piantengah
2015	Selaut
:06	Serasan
2002	Kampung Hilir
1003	Serasan
2005	Batu Berlian
2006	Tanjung Setelung
2007	Tanjung Balau
2010	Pangkalan
2011	Jermalik
:07	Bunguran Timur
2002	Sungai Ulu
2004	Sepempang
1011	Ranai Kota
2014	Batu Gajah
1016	Ranai Darat
1017	Bandarsyah
1019	Batu Hitam
:08	Bunguran Utara
2001	Kelarik Utara
2002	Kelarik
2003	Kelarik Barat
2004	Kelarik Air Mali
2005	Teluk Buton
2006	Belakang Gunung
2007	Seluan Barat
2008	Gunung Durian
:09	Subi
2001	Subi
2002	Subi Besar
2003	Meliah
2004	Pulau Panjang
2005	Terayak
2006	Pulau Kerdau
2007	Subi Besar Timur
2008	Meliah Selatan
:10	Pulau Laut
2001	Tanjung Pala
2002	Air Payang
2003	Kadur
:11	Pulau Tiga
2001	Sabang Mawang
2003	Sededap
2004	Tanjung Batang
2005	Serantas
2006	Sabang Mawang Barat
2010	Teluk Labuh
:15	Bunguran Timur Laut
2001	Tanjung
2002	Ceruk
2003	Kelanga
2004	Pengadah
2005	Sebadai Ulu
2006	Limau Manis
2007	Seleman
:16	Bunguran Tengah
2001	Tapau
2002	Harapan Jaya
2003	Air Lengit
:18	Bunguran Selatan
2001	Cemaga
2002	Cemaga Selatan (Setengar)
2003	Cemaga Utara (Singgang Bulan)
2004	Cemaga Tengah
:19	Serasan Timur
2001	Arung Ayam
2002	Air Nusa
2004	Air Ringau
2005	Payak
:20	Bunguran Batubi
2001	Batubi Jaya
2002	Gunung Putri
2003	Sedarat Baru
2004	Sedanau Timur
2005	Semedang
:21	Pulau Tiga Barat
2001	Pulau Tiga
2002	Tanjung Kumbik Utara
2003	Setumuk
2004	Selading
:22	Suak Midai
2001	Air Kumpai
2002	Batu Belanak
2003	Gunung Jambat
.04	Lingga
:01	Singkep
1001	Dabo
1007	Dabo Lama
2008	Batu Berdaun
2009	Tanjung Harapan
2010	Batu Kacang
1012	Sungailumpur
:02	Lingga
