34	Daerah Istimewa Yogyakarta
.01	Kulon Progo
:01	Temon
2001	Jangkaran
2002	Sindutan
2003	Palihan
2004	Glagah
2005	Kalidengen
2006	Plumbon
2007	Kedundang
2008	Demen
2009	Kulur
2010	Kaligintung
2011	Temon Wetan
2012	Temon Kulon
2013	Kebonrejo
2014	Janten
2015	Karangwuluh
:02	Wates
2001	Karangwuni
2002	Sogan
2003	Kulwaru
2004	Ngestiharjo
2005	Bendungan
2006	Triharjo
2007	Giripeni
1008	Wates
:03	Panjatan
2001	Garongan
2002	Pleret
2003	Bugel
2004	Kanoman
2005	Depok
2006	Bojong
2007	Tayuban
2008	Gotakan
2009	Panjatan
2010	Cerme
2011	Krembangan
:04	Galur
2001	Banaran
2002	Kranggan
2003	Nomporejo
2004	Karangsewu
2005	Tirtorahayu
2006	Pandowan
2007	Brosot
:05	Lendah
2001	Wahyuharjo
2002	Bumirejo
2003	Jatirejo
2004	Sidorejo
2005	Gulurejo
2006	Ngentakrejo
:06	Sentolo
2001	Demangrejo
2002	Srikayangan
2003	Tuksono
2004	Salamrejo
2005	Sukoreno
2006	Kaliagung
2007	Sentolo
2008	Banguncipto
:07	Pengasih
2001	Tawangsari
2002	Karangsari
2003	Kedungsari
2004	Margosari
2005	Pengasih
2006	Sendangsari
2007	Sidomulyo
:08	Kokap
2001	Hargomulyo
2002	Hargorejo
2003	Hargowilis
2004	Kalirejo
2005	Hargotirto
:09	Girimulyo
2001	Jatimulyo
2002	Giripurwo
2003	Pendoworejo
2004	Purwosari
:10	Nanggulan
2001	Banyuroto
2002	Donomulyo
2003	Wijimulyo
2004	Tanjungharjo
2005	Jatisarono
2006	Kembang
:11	Samigaluh
2001	Kebonharjo
2002	Banjarsari
2003	Purwoharjo
2004	Sidoharjo
2005	Gerbosari
2006	Ngargosari
2007	Pagerharjo
:12	Kalibawang
2001	Banjararum
2002	Banjarasri
2003	Banjarharjo
2004	Banjaroyo
.02	Bantul
:01	Srandakan
2001	Poncosari
2002	Trimurti
:02	Sanden
2001	Gadingsari
2002	Gadingharjo
2003	Srigading
2004	Murtigading
:03	Kretek
2001	Tirtomulyo
2002	Parangtritis
2003	Donotirto
2004	Tirtosari
2005	Tirtohargo
:04	Pundong
2001	Seloharjo
2002	Panjangrejo
2003	Srihardono
:05	Bambanglipuro
2001	Sidomulyo
2002	Mulyodadi
2003	Sumbermulyo
:06	Pandak
