53	Nusa Tenggara Timur
.01	Kupang
:04	Semau
2003	Bokonusan
2004	Otan
2005	Uitao
2006	Uiasa
2008	Hansisi
2009	Huilelot
2011	Batuinan
2013	Letbaun
:05	Kupang Barat
1001	Oenesu
1002	Batakte
2003	Manulai I
2004	Sumlili
2005	Lifuleo
2006	Tesabela
2007	Oematnunu
2008	Kuanheun
2009	Nitneo
2010	Bolok
2011	Tablolong
2012	Oenaek
:06	Kupang Timur
1001	Babau
2002	Nunkurus
1003	Naibonat
1004	Oesao
1005	Merdeka
2006	Tuapukan
2007	Oefafi
1008	Tuatuka
2011	Pukdale
2015	Oesao
2016	Manusak
2017	Tanah Putih
2018	Oelatimo
:07	Sulamu
1001	Sulamu
2002	Pitai
2003	Pariti
2004	Oeteta
2005	Bipolo
2006	Pantai Beringin
2007	Pantulan
:08	Kupang Tengah
2006	Oelnasi
1007	Tarus
2008	Noelbaki
2009	Oelpuah
2010	Oebelo
2011	Penfui Timur
2012	Tanah Merah
2013	Mata Air
:09	Amarasi
2001	Oesena
1002	Nonbes
2003	Ponain
2004	Kotabes
2005	Tesbatan
2006	Oenoni
2007	Apren
2008	Oenoni II
2009	Tesbatan II
:10	Fatuleu
1001	Camplong I
2007	Camplong II
2008	Naunnu
2009	Oebola
2010	Sillu
2011	Ekateta
2012	Kuimasi
2013	Tolnaku
2014	Oebola Dalam
2015	Kiuoni
:11	Takari
2001	Noelmina
2002	Benu
2003	Hueknutu
2004	Oelnaineno
2005	Tanini
2006	Kauniki
1007	Takari
2008	Tuapanaf
2009	Fatukona
2010	Oesusu
:12	Amfoang Selatan
2001	Fatusuki
2002	Oelbanu
1003	Lelogama
2004	Fatumetan
2005	Oh'aem
2008	Leloboko
2011	Oh'aem II
:13	Amfoang Utara
2001	Afoan
1002	Naikliu
2003	Fatunaus
2004	Kolabe
2005	Bakuin
2010	Lilmus
:16	Nekamese
2001	Oelomin
2002	Tasikona
2003	Oemasi
2004	Usapi Sonbai
2005	Oenif
2006	Tunfeu
2007	Oepaha
2008	Bone
2009	Taloetan
2010	Oben
2011	Bismarak
:17	Amarasi Barat
1001	Teunbaun
2002	Soba
2003	Toobaun
2004	Niukbaun
2005	Tunbaun
2006	Nekbaun
2007	Merbaun
2008	Erbaun
:18	Amarasi Selatan
1001	Buraen
1002	Sonraen
2003	Nekmese
2004	Retraen
2005	Sahraen
:19	Amarasi Timur
2001	Oebesi
2002	Pakubaun
2003	Rabeka
2004	Enoraen
:20	Amabi Oefeto Timur
2001	Seki
2002	Oemofa
2003	Nunmafo
2004	Muke
2005	Pathau
2006	Oeniko
2007	Oenuntono
2008	Oemolo
2009	Enolanan
2010	Oenaunu
:21	Amfoang Barat Daya
2001	Manubelon
2002	Letkole
2003	Nefoneut
2004	Bioba Baru
:22	Amfoang Barat Laut
2001	Soliu
2002	Saukibe
2003	Oelfatu
2004	Timau
2005	Honuk
2006	Faumes
:23	Semau Selatan
2001	Akle
2002	Uitiuh Ana
2003	Onansila
2004	Uitiuh Tuan
2005	Naikean
2006	Uiboa
:24	Taebenu
2001	Oeltuah
2002	Baumata
2003	Kuaklalo
2004	Oeletsala
2005	Bokong
2006	Baumata Utara
2007	Baumata Timur
2008	Baumata Barat
:25	Amabi Oefeto
2001	Fatukanutu
2002	Kairane
2003	Raknamo
2004	Kuanheum
2005	Fatuteta
2006	Oefeto
2007	Niunbaun
:26	Amfoang Timur
2001	Nunuanah
2002	Kifu
2003	Netemnanu Selatan
2004	Netemnanu Utara
2005	Netemnanu
:27	Fatuleu Barat
2001	Poto
2002	Nuataus
2003	Kalali
2004	Tuakau
2005	Naitae
:28	Fatuleu Tengah
2001	Oelbiteno
2002	Nonbaun
2003	Nunsaen
2004	Passi
:30	Amfoang Tengah
2001	Fatumonas
2002	Binafun
2003	Bitobe
2004	Bonmuti
.02	Timor Tengah Selatan
:01	Kota Soe
1001	SoE
1002	Cendana
1003	Oebesa
1004	Taubneno
1005	Nonohonis
1006	Karang Sirih
1007	Nunumeu
1008	Kobekamusa
1009	Oe Kefan
1010	Kota Baru
1011	Kampung Baru
2012	Kuatae
2013	Noemeto
:02	Mollo Selatan
2001	Biloto
2003	Kesetnana
2006	Tuasene
2008	Oinlasi
2010	Bisene
2012	Noinbila
2013	Bikekneno
:03	Mollo Utara
2001	O'besi
2002	Eonbesi
2003	Bosen
2004	Sebot
2007	Ajaobaki
2008	Netpala
2009	Tunua
2010	Bijaepunu
2011	Nefokoko
2012	Leloboko
2013	Lelobatan
2014	Halmei
2015	Fatukoto
2016	Kokfe'u
2017	To'fen
2018	Taiftob
2019	Iusmolo
2020	To'manat
:04	Amanuban Timur
2001	Billa
2002	Oelet
2004	Pisan
2005	Mauleum
2007	Nifukiu
2008	Mnelaanen
2009	Teluk
2012	Oe'Ekam
2016	Sini
2017	Tliu
:05	Amanuban Tengah
2001	Taebesa
2002	Nakfunu
2003	Oe'ekam
2004	Baki
2005	Tumu
2006	Noebesa
2007	Nobi-Nobi
2008	Sopo
2009	Bone
1010	Niki-Niki
2011	Maunum Niki-Niki
:06	Amanuban Selatan
2001	Pollo
2002	Oekiu
2003	Oebelo
2004	Noemuke
2010	Kiubaat
2011	Linamnutu
2014	Mio
2015	Batnun
2018	Bena
2019	Eno Neten
:07	Amanuban Barat
2007	Tublopo
2008	Nule
2009	Nusa
2010	Mnelalete
2011	Pusu
2012	Tubuhue
2013	Haumeni Baki
2015	Nifukani
:08	Amanatun Selatan
2001	Oinlasi
2002	Nunle'u
2003	Kokoi
2004	Fenun
2005	Kuale'u
2006	Lanu
2007	Sunu
2008	Anin
2009	To'i
2010	Nifuleo
2011	Fatulunu
2012	Fae
2013	Netutnana
:09	Amanatun Utara
2001	Lilo
2002	Fotilo
2003	Nasi
2004	Snok
2005	Tumu
2006	Fatu Oni
2007	Sono
2009	Tauanas
