72	Sulawesi Tengah
.01	Banggai
:01	Batui
2002	Nonong
2003	Kayowa
2005	Ondo-Ondolu
1006	Bugis
1007	Balantang
1008	Batui
1009	Tolando
1010	Lamo
2011	Honbola
2012	Uso
2016	Ondo-Ondolu I
1017	Sisipan
1023	Bakung
:02	Bunta
1014	Bunta I
2015	Bohotokong
2016	Dondo Soboli
2017	Laonggo
2023	Hion
2024	Tombongan Ulos
1025	Bunta II
2026	Pongian
2027	Tuntung
2028	Nanga-Nangaon
2029	Toima
2030	Matabas
2031	Huhak
2032	Lontio
2041	Demangan Jaya
2042	Balanga
2043	Longgolian
2044	Kalumbangan
2045	Polo
1047	Salabenda
1048	Kalaka
2049	Koili
:03	Kintom
2001	Kalolos
2002	Tangkiang
2003	Padang
2004	Manyula
2005	Uling
1006	Kintom
2007	Samadoya
2008	Dimpalon
2009	Solan
1010	Mendono
2013	Babang Buyangge
2015	Solan Baru
1017	Mondonun
2019	Dimpalon Baru
:04	Luwuk
2008	Tontouan
1009	Luwuk
1010	Baru
1011	Soho
1012	Bungin
2013	Lumpoknyo
1031	Karaton
1033	Kaleke
1034	Bungin Timur
1035	Mangkio Baru
:05	Lamala
2009	Nipa
2010	Kagitakan
2011	Sirom
2012	Poroan
2013	Lomba
2014	Bonebobakal
2015	Baruga
2016	Kotabaru
2017	Labotan
2023	Tinonda
2027	Bahari Makmur
2028	Kota Raya
:06	Balantak
2009	Talima A
2010	Talima B
2013	Dolom
2014	Kiloma
2015	Ra'u
2016	Tanotu
2017	Padang
2018	Mamping
1020	Balantak
2021	Luok
2027	Boloak
1030	Dale-Dale
1031	Talang Batu
:07	Pagimana
2001	Baloa Doda
2002	Tampe
2010	Asaan
1011	Pakowa
2012	Balai Gondi
2013	Bajo Poat
2014	Gomuo
2015	Nain
2016	Lamo
2017	Tongkonunuk
1018	Pagimana
2019	Hohudongan
2020	Sinampangnyo
2021	Jaya Bakti
1022	Basabungan
2023	Pisou
2024	Lambangan
2025	Toipan
2026	Siuna
