76	Sulawesi Barat
.01	Pasangkayu
:01	Bambalamotu
2003	Polewali
2004	Randomayang
1006	Bambalamotu
2007	Pangiang
2008	Kalola
2009	Wulai
:02	Pasangkayu
1001	Pasangkayu
1002	Martajaya
2010	Pakava
2014	Karya Bersama
2015	Ako
2016	Gunung Sari
:03	Baras
1001	Baras
2002	Balanti
2003	Motu
2012	Bulu Parigi
2013	Towoni
2016	Kasano
:04	Sarudu
2001	Sarudu
2003	Bulu Mario
2005	Kumasari
2011	Patika
2012	Doda
:05	Dapurang
2001	Dapurang
2002	Benggaulu
2003	Tirtabuana
2004	Bulu Bonggu
2005	Sarasa
:06	Duripoku
2001	Tammarunang
2002	Saptanajaya
2003	Taranggi
2004	Sipakainga
:07	Bulu Taba
2001	Lilimori
2002	Karave
2003	Bukit Harapan
2004	Kastabuana
2005	Sumber Sari
2006	Lelejae
2007	Ompi
:08	Tikke Raya
2001	Tikke
2002	Makmur Jaya
2003	Lariang
2004	Pajalele
2005	Jengeng Raya
:09	Pedongga
2001	Malei
2002	Pedanda
2003	Batu Oge
2004	Martasari
:10	Bambaira
2001	Bambaira
2002	Kasoloang
2003	Tampaure
2004	Kaluku Nangka
:11	Sarjo
2001	Sarjo
2002	Maponu
2003	Letawa
2004	Sarude
:12	Lariang
2001	Parabu
2002	Kenangan
2003	Bajawali
2004	Singgani
2005	Kulu
2006	Batu Matoru
2007	Bambakoro
.02	Mamuju
:01	Mamuju
1002	Binanga
1003	Mamunyu
2005	Bambu
2006	Karampuang
2010	Tadui
1012	Karema
1013	Rimuku
2014	Batu Pannu
:02	Tapalang
1001	Galung
1002	Kasambang
2003	Orobatu
2006	Takandeang
2009	Bela
2010	Taan
2011	Tampalang
2012	Rantedoda
2013	Kopeang
1014	Dayanginna
:03	Kalukku
1001	Sinyonyoi
1002	Bebanga
1003	Kalukku
2004	Sondoang
2005	Beru-Beru
2006	Belang Belang
2007	Kabuloang
2008	Keang
2009	Pokkang
2010	Guliling
2011	Uhaimate
2012	Kalukku Barat
2013	Pammulukang
1014	Sinyonyoi Selatan
:04	Kalumpang
2001	Kalumpang
2003	Karataun
2004	Karama
2006	Siraun
2007	Tumoga
2010	Salumakki
2011	Polio
2012	Limbong
2013	Sandapang
2014	Kondo Bulo
2015	Makkaliki
2016	Batu Makkada
2017	Lasa'
:07	Papalang
2001	Toabo
2002	Papalang
2003	Bonda
2004	Topore
2005	Salukayu
2006	Sukadamai
2007	Boda-Boda
2008	Sisango
2009	Batu Ampa
:08	Sampaga
2001	Bunde
2002	Kalonding
2003	Tarailu
2004	Sampaga
2005	Tanambuah
2006	Salubarana
2007	Losso
:11	Tommo
2001	Tommo
2002	Campaloga
2003	Buana Sakti
2004	Tamemongga
2005	Tamejarra
2006	Rantemario
2007	Malino
2008	Kakullasang
2009	Leling
2010	Kalepu
2011	Sandana
2012	Leling Barat
2013	Leling Utara
2014	Saludengen
:12	Simboro dan Kepulauan
1001	Simboro
1002	Rangas
2003	Botteng
2004	Saletto
2005	Sumare
2007	Botteng Utara
2008	Tapandullu
2009	Pati'di
:13	Tapalang Barat
2001	Dungkait
2002	Lebani
2003	Labuang Rano
2004	Pasabu
2005	Tanete Pao
2006	Pangasaan
2007	Ahu
:15	Bonehau
2001	Bonehau
2002	Salutiwo
2003	Buttuada
2004	Tamalea
2005	Lumika
2006	Mappu
2009	Banuada
2010	Hinua
2011	Kinatang
:16	Kep. Bala Balakang
2001	Bala Balakang
2002	Bala-Balakang Timur
.03	Mamasa
:01	Mambi
1001	Mambi
1002	Talipukki
2004	Rantebulahan
2008	Sondonglayu
2016	Salubanua
2017	Tapalina
2019	Sendana
2024	Pamosean
2025	Selumaka
2026	Bujung Manurung
2027	Salu Alo
2029	Indobanua
2030	Saludurian
:02	Aralle
1001	Aralle
2003	Ralle Anak
2004	Panetean
2005	Uhailanu
2007	Aralle Utara
2009	Uhaidaho
2010	Baruru
2015	Ralleanak Utara
2016	Pamoseang Pangga
2017	Kalabe
2018	Aralle Selatan
2019	Hahangan
:03	Mamasa
1001	Mamasa
2002	Rambusaratu
2003	Osango
2004	Lambanan
2005	Lembana Salulo
2006	Taupe
2007	Buntu Buda
2008	Tondok Bakaru
2009	Pebassian
2010	Mambuliling
2011	Bombong Lambe
2012	Bubun Batu
:04	Pana
1001	Pana
2003	Manipi
2005	Mamullu
2006	Sapan
2009	Datubaringan
2010	Panura
2011	Tallang Bulawan
2012	Karaka
2013	Ulusalu
2014	Weri
2015	Salutambun
2016	Saloan
2017	Ulusalu Indah
:05	Tabulahan
1001	Lakahang
2002	Periangan
2003	Malatiro
2004	Tabulahan
2005	Saluleang
2007	Tampak Kurra
2008	Gandang Dewata
2009	Burana
2010	Salubakka
2011	Pangandaran
2012	Talopak
2013	Peu'
2014	Timoro
2015	Lakahang Utama
:06	Sumarorong
1001	Sumarorong
1002	Tabone
2003	Batang Uru
2004	Sasakan
2005	Tadisi
2006	Sibanawa
2007	Batangnguru Timur
2008	Salubalo
2009	Banea
2010	Rante Kamase
:07	Messawa
1001	Messawa
2002	Rippung
2003	Makuang
2004	Sepang
2005	Malimbong
2006	Matande
2007	Sipai
2008	Pasma Mambu
2009	Tanete Batu
:08	Sesenapadang
2002	Orobua
2003	Paladan
2004	Orobua Timur
2006	Rante Puang
2007	Satenetean
2008	Lisuan Ada
2010	Orobua Selatan
2012	Malangkena Padang
2013	Malimbong
2014	Marampan Orobua
:09	Tanduk Kalua
2001	Malabo
2005	Sindagamanik
2006	Parondobulawan
2007	Tamalantik
2008	Mannababa
2009	Mesakada
2010	Ballabatu
1011	Minake
2012	Pambe
2013	Salurano
2014	Talimbung
2015	Kanan
:10	Tabang
1001	Tabang
2003	Tadokalua
2004	Tabang Barat
2005	Masupu
2006	Kalama
2007	Bakadisura
2008	Salukona
:11	Bambang
2001	Mokallang
2002	Masoso
2003	Saluassing
2004	Salubulo
2005	Salukadi
2006	Salukepopok
2007	Ulumambi Barat
2008	Limbadebata
2009	Tanete Tomba
2010	Bambang
2011	Rantelemo
2012	Saludengen
2013	Ulumambi
2014	Bambang Timur
2015	Minanga
2016	Sikamase
2017	Rantetarima
2018	Salururu
2019	Salutabang
2020	Balatana
:12	Balla
2001	Balla
2002	Balla Barat
2003	Balla Satanetean
2004	Balla Tumuka
2005	Sepakuan
2006	Pidara
2007	Bambapuang
2008	Balla Timur
:13	Nosu
1001	Nosu
2002	Minanga
2003	Batupapan
2004	Masewwe
2005	Siwi
2006	Minanga Timur
