11	Aceh
.01	Aceh Selatan
.02	Aceh Tenggara
.03	Aceh Timur
.04	Aceh Tengah
.05	Aceh Barat
.06	Aceh Besar
.07	Pidie
.08	Aceh Utara
.09	Simeulue
.10	Aceh Singkil
.11	Bireuen
.12	Aceh Barat Daya
.13	Gayo Lues
.14	Aceh Jaya
.15	Nagan Raya
.16	Aceh Tamiang
.17	Bener Meriah
.18	Pidie Jaya
.71	Banda Aceh
.72	Sabang
.73	Lhokseumawe
.74	Langsa
.75	Subulussalam
12	Sumatera Utara
.01	Tapanuli Tengah
.02	Tapanuli Utara
.03	Tapanuli Selatan
.04	Nias
.05	Langkat
.06	Karo
.07	Deli Serdang
.08	Simalungun
.09	Asahan
.10	Labuhanbatu
.11	Dairi
.12	Toba Samosir
.13	Mandailing Natal
.14	Nias Selatan
.15	Pakpak Bharat
.16	Humbang Hasundutan
.17	Samosir
.18	Serdang Bedagai
.19	Batu Bara
.20	Padang Lawas Utara
.21	Padang Lawas
.22	Labuhanbatu Selatan
.23	Labuhanbatu Utara
.24	Nias Utara
.25	Nias Barat
.71	Medan
.72	Pematangsiantar
.73	Sibolga
.74	Tanjung Balai
.75	Binjai
.76	Tebing Tinggi
.77	Padang Sidempuan
.78	Gunungsitoli
13	Sumatera Barat
.01	Pesisir Selatan
.02	Solok
.03	Sijunjung
.04	Tanah Datar
.05	Padang Pariaman
.06	Agam
.07	Lima Puluh Kota
.08	Pasaman
.09	Kepulauan Mentawai
.10	Dharmasraya
.11	Solok Selatan
.12	Pasaman Barat
.71	Padang
.72	Solok
.73	Sawahlunto
.74	Padang Panjang
.75	Bukittinggi
.76	Payakumbuh
.77	Pariaman
14	Riau
.01	Kampar
.02	Indragiri Hulu
.03	Bengkalis
.04	Indragiri Hilir
.05	Pelalawan
.06	Rokan Hulu
.07	Rokan Hilir
.08	Siak
.09	Kuantan Singingi
.10	Kepulauan Meranti
.71	Pekanbaru
.72	Dumai
15	Jambi
.01	Kerinci
.02	Merangin
.03	Sarolangun
.04	Batanghari
.05	Muaro Jambi
.06	Tanjung Jabung Barat
.07	Tanjung Jabung Timur
.08	Bungo
.09	Tebo
.71	Jambi
.72	Sungai Penuh
16	Sumatera Selatan
.01	Ogan Komering Ulu
.02	Ogan Komering Ilir
.03	Muara Enim
.04	Lahat
.05	Musi Rawas
.06	Musi Banyuasin
.07	Banyuasin
.08	Ogan Komering Ulutimur
.09	Ogan Komering Uluselatan
.10	Ogan Ilir
.11	Empat Lawang
.12	Penukal Abab Lematangilir
.13	Musi Rawas Utara
.71	Palembang
.72	Pagar Alam
.73	Lubuk Linggau
.74	Prabumulih
17	Bengkulu
.01	Bengkulu Selatan
.02	Rejang Lebong
.03	Bengkulu Utara
.04	Kaur
.05	Seluma
.06	Muko Muko
.07	Lebong
.08	Kepahiang
.09	Bengkulu Tengah
.71	Bengkulu
18	Lampung
.01	Lampung Selatan
.02	Lampung Tengah
.03	Lampung Utara
.04	Lampung Barat
.05	Tulang Bawang
.06	Tanggamus
.07	Lampung Timur
.08	Way Kanan
.09	Pesawaran
.10	Pringsewu
.11	Mesuji
.12	Tulang Bawang Barat
.13	Pesisir Barat
.71	Bandar Lampung
.72	Metro
19	Kepulauan Bangka Belitung
.01	Bangka
.02	Belitung
.03	Bangka Selatan
.04	Bangka Tengah
.05	Bangka Barat
.06	Belitung Timur
.71	Pangkal Pinang
21	Kepulauan Riau
.01	Bintan
.02	Karimun
.03	Natuna
.04	Lingga
.05	Kepulauan Anambas
.71	Batam
.72	Tanjung Pinang
31	DKI Jakarta
.01	Kep. Seribu
.71	Jakarta Pusat
.72	Jakarta Utara
.73	Jakarta Barat
.74	Jakarta Selatan
.75	Jakarta Timur
32	Jawa Barat
.01	Bogor
.02	Sukabumi
.03	Cianjur
.04	Bandung
.05	Garut
.06	Tasikmalaya
.07	Ciamis
.08	Kuningan
.09	Cirebon
.10	Majalengka
.11	Sumedang
.12	Indramayu
.13	Subang
.14	Purwakarta
.15	Karawang
.16	Bekasi
.17	Bandung Barat
.18	Pangandaran
